comorbidity codes weight
Congestiveheartfailure "398.91,402.01,402.11,402.91,404.01,404.03,404.11,404.13,404.91,404.93,425.4,425.5,425.6,425.7,428.8,425.9,428.x" 7
Cardiacarrhythmias "426.0,426.13,426.7,426.9,426.10,426.12,427.0,427.1,427.2,427.3,427.4,427.6,427.7,427.8,427.9,785.0,996.01,996.04,V45.0,V53.3" 5
Valvulardisease "093.2,394.x,395.x,396.x,397.x,424.x,746.3,746.4,746.5,746.6,V42.2,V43.3" -1
Pulmonarycirculationdisorders "415.0,415.1,416.x,417.0,417.8,417.9" 4
Peripheralvasculardisorders "093.0,437.3,440.x,441.x,443.1,443.2,443.3,443.4,443.5,443.6,443.7,443.8,443.9,447.1,557.1,557.9,V43.4" 2
Hypertension,uncomplicated "401.x" 0
Hypertension,complicated "402.x,403.x,404.x,405.x" 0
Paralysis "334.1,342.x,343.x,344.0,344.1,344.2,344.3,344.4,344.5,344.6,344.9" 7
Otherneurologicaldisorders "331.9,332.0,332.1,333.4,333.5,333.92,334.x,335.x,336.2,340.x,341.x,345.x,348.1,348.3,780.3,784.3" 6
Chronicpulmonarydisease "416.8,416.9,490.x,491.x,492.x,493.x,494.x,495.x,496.x,497.x,498.x,499.x,500.x,501.x,502.x,503.x,504.x,505.x,506.4,508.1,508.8" 3
Diabetes,uncomplicated "250.0,250.1,250.2,250.3" 0
Diabetes,complicated "250.4,250.5,250.6,250.7,250.8,250.9" 0
Hypothyroidism "240.9,243.x,244.x,246.1,246.8" 0
Renalfailure "403.01,403.11,403.91,404.02,404.03,404.12,404.13,404.92,404.93,585.x,586.x,588.0,V42.0,V45.1,V56.0,V56.1,V56.2,V56.3,V56.4,V56.5,V56.6,V56.7,V56.8,V56.9,V56.10,V56.11,V56.12,V56.13,V56.14,V56.15,V56.16,V56.17,V56.18,V56.19,V56.20,V56.21,V56.22,V56.23,V56.24,V56.25,V56.26,V56.27,V56.28,V56.29,V56.30,V56.31,V56.32,V56.33,V56.34,V56.35,V56.36,V56.37,V56.38,V56.39,V56.40,V56.41,V56.42,V56.43,V56.44,V56.45,V56.46,V56.47,V56.48,V56.49,V56.50,V56.51,V56.52,V56.53,V56.54,V56.55,V56.56,V56.57,V56.58,V56.59,V56.60,V56.61,V56.62,V56.63,V56.64,V56.65,V56.66,V56.67,V56.68,V56.69,V56.70,V56.71,V56.72,V56.73,V56.74,V56.75,V56.76,V56.77,V56.78,V56.79,V56.80,V56.81,V56.82,V56.83,V56.84,V56.85,V56.86,V56.87,V56.88,V56.89,V56.90,V56.91,V56.92,V56.93,V56.94,V56.95,V56.96,V56.97,V56.98,V56.99" 5
Liverdisease "070.22,070.23,070.32,070.33,070.44,070.54,070.6,070.9,456.0,456.1,456.2,570.x,571.x,572.2,572.3,572.4,572.5,572.6,572.7,572.8,573.3,573.4,573.8,573.9,V42.7" 11
Pepticulcerdisease,excludingbleeding "531.7,531.9,532.7,532.9,533.7,533.9,534.7,534.9" 0
AIDS/HIV "042.x,043.x,044.x" 0
Lymphoma "200.x,201.x,202.x,203.0,238.6" 9
Metastaticcancer "196.x,197.x,198.x,199.x" 12
Solidtumourwithoutmetastasis "140.x,141.x,142.x,143.x,144.x,145.x,146.x,147.x,148.x,149.x,150.x,151.x,152.x,153.x,154.x,155.x,156.x,157.x,158.x,159.x,160.x,161.x,162.x,163.x,164.x,165.x,166.x,167.x,168.x,169.x,170.x,171.x,172.x,174.x,175.x,176.x,177.x,178.x,179.x,180.x,181.x,182.x,183.x,184.x,185.x,186.x,187.x,188.x,189.x,190.x,191.x,192.x,193.x,194.x,195.x" 4
Rheumatoidarthritis/collagenvasculardiseases "446.x,701.0,710.0,710.1,710.2,710.3,710.4,710.8,710.9,711.2,714.x,719.3,720.x,725.x,728.5,728.89,729.30" 0
Coagulopathy "286.x,287.1,287.3,287.4,287.5" 3
Obesity "278.0" -4
Weightloss "260.x,261.x,262.x,263.x,783.2,799.4" 6
Fluidandelectrolytedisorders "253.6,276.x" 5
Bloodlossanaemia "280.0" -2
Deficiencyanaemia "280.1,280.2,280.3,280.4,280.5,280.6,280.7,280.8,280.9,281.x" -2
Alcoholabuse "265.2,291.1,291.2,291.3,291.5,291.6,291.7,291.8,291.9,303.0,303.9,305.0,357.5,425.5,535.3,571.0,571.1,571.2,571.3,980.x,V11.3" 0
Drugabuse "292.x,304.x,305.2,305.3,305.4,305.5,305.6,305.7,305.8,305.9,V65.42" -7
Psychoses "293.8,295.x,296.04,296.14,296.44,296.54,297.x,298.x" 0
Depression "296.2,296.3,296.5,300.4,309.x,311.0" -3
